query,category,processed_query
Is there a link between poor air quality and high blood pressure?,Health Effects,link poor air quality high blood pressure
What is the threshold for unhealthy air on the AQI scale?,AQI Information,threshold unhealthy air aqi scale
What does AQI 420 mean?,AQI Information,aqi 420 mean
Are exhaust valve masks safe and effective for personal pollution defense?,Masks and Protection,exhaust valve mask safe effective personal pollution defense
How do electrostatically charged fibers in N95 masks capture submicron particles?,Masks and Protection,electrostatically charge fiber n95 mask capture submicron particle
What does an AQI of 55 mean?,AQI Information,aqi 55 mean
"I want to know, How does air pollution impact metabolic syndrome and cholesterol?",Health Effects,want know air pollution impact metabolic syndrome cholesterol
What are the long term hazards of diesel particulate exposure for bus drivers?,Pollution Exposure,long term hazard diesel particulate exposure bus driver
How can I minimize smoke leakage under doors during stubble burning?,Precautions,minimize smoke leakage door stubble burn
Does air pollution increase the severity of viral pneumonia and bronchitis?,Respiratory Health,air pollution increase severity viral pneumonia bronchitis
Can I walk my dog outside for an hour when the air quality is 250?,Outdoor Activities,walk dog outside hour air quality 250
Can I do calisthenics in an open-air park when the AQI is 500?,Outdoor Activities,calisthenics open air park aqi 500
Is it true that how does exposure to burning biomass compare to vehicle emissions in toxicity?,Pollution Exposure,true exposure burn biomass compare vehicle emission toxicity
Quick question: Can wearing two cloth masks match the filtration efficiency of an N95?,Masks and Protection,quick question wear two cloth mask match filtration efficiency n95
Why do I experience nausea and stomach discomfort in dense smog?,Symptoms,experience nausea stomach discomfort dense smog
Why is my throat dry and scratchy after commuting in traffic?,Symptoms,throat dry scratchy commute traffic
"Hey AQI-Sense, Quick question: Is it true that quick question: Are patients recovering from recent cardiac surgery vulnerable to air pollution?",Vulnerable Groups,hey aqi sense quick question true quick question patient recover recent cardiac surgery vulnerable air pollution
Can smog cause burning sensations throughout the upper respiratory tract?,Symptoms,smog cause burn sensation throughout upper respiratory tract
How does particulate matter affect systemic blood clotting factors?,Health Effects,particulate matter affect systemic blood clot factor
Could you explain if explain what AQI 410 indicates?,AQI Information,could explain explain aqi 410 indicate
"Please explain: Doctor, I want to know, Please explain: Why do people with allergic rhinitis suffer so much during smog season?",Respiratory Health,please explain doctor want know please explain people allergic rhinitis suffer much smog season
How do I check if my KN95 mask is genuine or counterfeit?,Masks and Protection,check kn95 mask genuine counterfeit
Is it true that please explain: Is it true that at what AQI level is it strongly recommended to wear an N95 respirator?,Masks and Protection,true please explain true aqi level strongly recommend wear n95 respirator
Is it true that can two surgical masks worn together equal the filtration of an N95?,Masks and Protection,true two surgical mask wear together equal filtration n95
What does an AQI of 490 mean?,AQI Information,aqi 490 mean
Quick question: Can you tell me: Can chronic smog exposure permanently stunt lung development in children?,Vulnerable Groups,quick question tell chronic smog exposure permanently stunt lung development child
Can outdoor gardeners and landscapers work safely in hazy weather?,Outdoor Activities,outdoor gardener landscaper work safely hazy weather
Can children play in the backyard playground when the AQI is 155?,Outdoor Activities,child play backyard playground aqi 155
Can outdoor gardeners and landscapers work safely in Hazardous air?,Outdoor Activities,outdoor gardener landscaper work safely hazardous air
Why do my lips feel chapped and dry in heavy air pollution?,Symptoms,lip feel chap dry heavy air pollution
Can you tell me: How does proximity to port shipping terminals elevate sulfur and diesel particle exposure?,Pollution Exposure,tell proximity port ship terminal elevate sulfur diesel particle exposure
How does dirty air affect cholesterol levels and arterial plaque?,Health Effects,dirty air affect cholesterol level arterial plaque
What precautions should I take when the AQI reaches unhealthy levels?,Precautions,precaution take aqi reach unhealthy level
Why are people with existing pulmonary arterial hypertension considered sensitive?,Vulnerable Groups,people exist pulmonary arterial hypertension consider sensitive
Could you explain if are exhaust valve masks safe and effective for personal pollution defense?,Masks and Protection,could explain exhaust valve mask safe effective personal pollution defense
Please explain: Could you explain if can air pollution trigger acute migraine attacks with light sensitivity?,Symptoms,please explain could explain air pollution trigger acute migraine attack light sensitivity
Can air pollution trigger pleurisy or inflammation of the pleural membranes?,Respiratory Health,air pollution trigger pleurisy inflammation pleural membrane
What safety protocols should municipal sweepers follow when sweeping dry dusty roads?,Pollution Exposure,safety protocol municipal sweeper follow sweep dry dusty road
Why do I feel breathless after doing simple household chores during high AQI?,Symptoms,feel breathless simple household chore high aqi
What is the breakpoint table used by EPA for calculating AQI?,AQI Information,breakpoint table use epa calculate aqi
Could you explain if is it true that can you tell me: What is the difference between particulate filtering and gas filtration?,Masks and Protection,could explain true tell difference particulate filter gas filtration
What does an AQI between 201 and 300 indicate?,AQI Information,aqi 201 300 indicate
Can I take my toddler for a stroller walk when the AQI is 155?,Outdoor Activities,take toddler stroller walk aqi 155
Why are infants and toddlers more susceptible to toxic air pollution?,Vulnerable Groups,infant toddler susceptible toxic air pollution
Quick question: How can public transport riders minimize exposure to bus and truck exhaust?,Precautions,quick question public transport rider minimize exposure bus truck exhaust
At what AQI level should all outdoor physical activities be moved indoors?,Outdoor Activities,aqi level outdoor physical activity move indoors
